Sample ID,AmphibID,Timepoint,Date,Month,Season,Year,Season_Year,Month_Year,Temp,Temperatue Range,DO,DO range,pH,pH range,Substrate Addition,PD_whole_tree,chao1,observed_species,shannon,simpson,denovo35285,222554,299516,254938,4308371,4452634,denovo7650,3091248,denovo79939,518380,2685602,denovo48477,829133,4426763,denovo44378,269781,358042,235695,545997,786420,1145138,4425214,344394,554250,2139822,4418260,denovo20814,410048,149152,denovo21032,137981,707147,denovo11242,4479347,109263,denovo32796,817117,309489,denovo62958,4414951,denovo82447,denovo51930,4345285,denovo55484,91962,denovo39094,denovo30849,denovo9128,219439,denovo53994,252822,denovo28483,140829,denovo82673,4353625,3877343,719367,218154,359872,4456068,4406967,denovo29116,denovo59947,4378239,denovo40356,539296,denovo36375,107461,557138,denovo20674,537062,denovo40545,4316720,denovo80651,845178,269930,817507,denovo51483,4449458,denovo30758,denovo76,4430952,4303191,denovo50816,68617,denovo9991,4320368,denovo14820,denovo43247,1105883,denovo2982,159950,151176,394796,denovo8416,denovo15258,3701019,315609,2360704,130455,denovo80779,2534143,640071,322934,306704,640392,811462,4469492,1708706,61836,denovo38973,306546,147678,denovo62583,560243,denovo12172,denovo30172,806467,denovo16247,denovo14719,denovo45023,221589,denovo42557,4347599,2912622,160679,325027,denovo29889,814442,denovo50101,denovo16474,635524,denovo38171,4370747,512114,denovo31946,4364813,4386920,4449609,654212,denovo67954,4468125,412392,denovo53733,4369970,668514,denovo73199,3330580,4311486,denovo25227,1932541,denovo52193,denovo9916,1123414,647775,4388545,676117,denovo55920,219151,2881877,1141330,3979725,denovo23720,268968,4451011,1119668,4454257,denovo76781,4395995,denovo81419,4457829,denovo70073,denovo38936,denovo20358,denovo9091,denovo37527,4388385,denovo20555,denovo5183,denovo9801,1114798,denovo12055,denovo75330,4451302,denovo80856,140359,2119418,4419276,4428924,119663,denovo26765,4350881,125270,denovo24900,denovo37197,denovo239,denovo23964,2458172,1139932,211171,denovo40374,4422388,4466646,4481624,93726,133961,denovo21903,denovo25929,denovo22893,denovo8095,4456889,denovo43794,4473756,denovo58601,847670,4298361,denovo21680,denovo72529,4466618,643362,610486,4323897,182643,4429445,TOTAL NUMBER OF SEQS PER SAMPLE
LTEE.13..1,13,1,9.9.11,Sep,Fall,2011,Fall2011,Sep2011,19.5,>19C,7.9,<8,6.532,6-7,Pre substrate addition,10.17925,108.1428571,81,1.988440048,0.630845617,0,49,0,0,1,0,0,3,0,11,0,0,0,1,0,0,0,12,11,0,35,1,0,1,5,1,0,0,0,0,1,0,0,6,0,0,9,0,0,1020,0,4,4,0,0,0,0,2,0,48,0,0,0,16,0,0,1,2,0,0,1,21,0,6,0,0,0,30,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,17,0,0,57,0,0,0,0,1,0,1,14,0,0,3,1,0,108,0,0,0,0,0,0,2,29,8,1,31,0,0,0,0,0,0,1130,0,0,0,0,0,23,0,0,0,0,0,0,0,329,0,0,0,0,1,0,12370,3,1,67,0,2,0,0,0,0,0,1,0,395,0,22,0,3,4,0,13,0,0,0,0,3,0,0,54,0,1,0,15,0,0,0,40,0,0,0,0,4,0,0,60,0,12441,0,2,50,0,17,0,0,1,24,0,0,0,0,0,0,0,6,1,15,0,3,39,0,7,0,0,1,67,0,0,0,0,0,0,25,179,0,3,29000
LTEE.13..2,13,2,10.21.11,Oct,Fall,2011,Fall2011,Oct2011,11,<12C,10.08,>10,5.93,5-6,Pre substrate addition,18.32017,167.2142857,155,3.889083719,0.876550656,18,19,22,0,1121,0,7,2,17,0,2,14,0,81,5,49,5,207,37,21,10,8,5,0,1,1,0,1,0,1,0,0,2,882,1,3,1,0,0,163,0,2,3,20,2,4,30,5,0,13,27,0,0,4,0,0,98,19,0,48,0,0,2,7274,0,0,78,1,61,8,1604,30,68,4,513,0,0,1,1,15,35,0,0,6,30,41,86,16,28,0,0,0,0,17,3,7,2,6,1,71,11,5,29,1,10,0,0,0,8,1,17,5,0,0,0,0,11,11,71,8,0,0,0,0,4,3,0,12,0,2,3,9,66,0,0,0,0,7,1,3088,3,1319,7,0,78,0,0,18,75,41,22,2,85,316,5,53,2,37,0,108,0,144,0,0,1,62,49,49,2,33,6,5,100,0,0,3,29,5,10,0,0,50,21,10,24,4182,2,3939,19,0,5,25,1,0,11,0,7,0,27,3,0,0,307,0,12,11,4,7,0,5,1,0,1155,16,0,1,8,1,36,2,52,13,0,1,29000
LTEE.13..3,13,3,12.2.11,Dec,Winter,2011,Winter2011,Dec2011,4.9,<12C,11.2,>10,5.8,5-6,Pre substrate addition,15.1211,138.55,130,3.385260412,0.815345467,4,0,1,0,1514,0,2,2,1,0,0,4,0,0,6,98,640,310,5,0,1,2,7,0,1,3,0,6,0,0,0,3,1,11,6,0,0,20,0,1,0,3,7,30,4,2,45,0,3,0,24,0,2,2,20,0,2,7,0,56,128,0,6,9894,0,0,89,0,83,0,2403,8,131,0,842,0,1,0,0,28,6,1,0,0,55,33,4,9,60,8,0,2,0,30,0,0,0,1,0,91,0,10,38,0,2,2,0,0,0,0,6,0,0,0,3,0,2,1,3,0,0,0,0,10,4,37,4,1,0,0,1,29,0,0,0,0,2,11,2,46,1,1409,1,0,62,0,0,33,0,3,7,3,0,609,1,35,246,2,0,5,0,235,0,2,7,59,55,2,5,59,2,0,112,0,0,0,43,1,2,0,0,86,41,0,2,327,0,6523,1,0,0,41,0,9,0,0,4,0,48,11,0,0,3,0,0,17,1,0,0,0,3,0,1686,0,0,1,0,0,83,4,25,95,5,0,29000
LTEE.13..4,13,4,4.4.12,Apr,Spring,2012,Spring2012,Apr2012,17.8,12-19C,9.03,8 to 10,7.61,>7,Pre substrate addition,15.95191,110.0666667,104,4.051909246,0.886140894,0,0,190,23,0,0,0,402,0,0,1,0,283,12,0,0,0,21,0,1,17,89,0,0,28,0,0,0,640,0,0,79,0,1,50,0,2,1042,0,36,310,360,147,0,0,0,0,5,15,2,0,0,190,0,997,0,0,0,0,0,7753,0,0,15,13,0,0,0,0,0,0,0,0,0,7,0,0,0,21,0,0,2,0,0,125,0,7,0,0,152,73,134,0,1,4,0,0,364,1,0,0,3,0,2,0,223,32,24,8,0,2,3,0,26,0,0,0,100,1176,0,0,0,1,721,0,0,189,0,0,0,0,174,3,0,0,0,39,127,696,1743,2,18,3,19,57,2,0,0,0,0,6,0,3,1,8,822,0,1,0,2075,0,0,0,2,1,0,0,4,0,0,0,2,0,0,18,2,0,0,0,78,27,0,0,2,0,2775,27,1,6,216,2,0,11,3750,2,0,1,0,0,0,0,0,0,0,3,0,1,1,0,2,0,4,26,20,0,0,0,0,1,66,9,16,0,0,29000
LTEE.13..5,13,5,5.16.12,May,Spring,2012,Spring2012,May2012,18.2,12-19C,9.1,8 to 10,5.14,5-6,Pre substrate addition,17.39624,165.9285714,155,3.348184345,0.807139605,7,6,0,0,43,0,0,2,5,1,0,6,3,6,1,0,27,69,65,4,7,1,46,0,0,1,0,8,15,0,0,2,0,161,7,6,2,17,2,48,0,5,1,20,15,4,27,8,0,2,0,0,2,4,17,0,25,5,0,2,109,0,9,5677,0,0,46,2,122,8,1206,38,261,10,2285,1,0,8,1,9,57,2,0,4,3,59,16,8,62,12,1,0,0,0,5,4,0,5,0,42,9,23,69,1,36,3,0,0,4,3,15,7,0,0,3,0,3,12,109,0,0,0,0,4,12,0,0,17,0,3,1,6,37,0,0,0,0,3,5,1777,2,911,11,0,219,0,0,9,15,11,7,1,40,466,7,26,0,9,0,157,0,27,0,1,12,0,161,47,0,7,6,3,60,0,0,1,2,1,3,0,3,27,25,5,11,2691,5,10560,20,10,6,24,0,15,2,1,0,0,0,0,0,0,1,0,7,23,1,6,0,3,7,0,177,15,0,2,17,0,72,5,40,57,0,1,29000
LTEE.13..6,13,6,6.27.12,Jun,Summer,2012,Summer2012,Jun2012,23.9,>19C,na,na,4,<5,Pre substrate addition,15.56195,142.875,138,3.62299964,0.844367717,12,17,0,0,1365,0,11,35,6,6,5,2,2,0,1,0,0,136,0,30,22,5,0,0,0,0,0,2,8,0,0,4,1,0,483,0,5,171,2,246,0,116,11,0,0,0,0,5,151,5,0,0,34,4,106,0,0,0,0,14,962,0,0,3523,0,0,7,1,0,1,0,4,0,2,111,228,378,2,0,1,7,4,0,21,3,14,28,0,0,57,0,4,0,42,14,4,0,84,3,3,23,35,0,8,0,7,0,40,20,4,4,25,0,0,0,0,2,26,502,0,0,46,17,61,6,0,14,7,2,1,4,18,68,0,0,0,5,12,8,8013,4,368,22,0,13,0,0,0,0,18,2,1,67,0,12,1,0,9,0,704,0,91,0,0,5,224,0,33,0,0,10,14,7,0,0,13,44,1,2,0,2,2,0,23,12,6683,6,47,54,0,8,16,0,429,10,0,2,0,52,12,0,0,1,1,9,0,4,13,0,7,3,0,2241,70,2,0,1,0,0,0,2,113,0,1,29000
LTEE.13..7,13,7,8.9.12,Aug,Summer,2012,Summer2012,Aug2012,24.7,>19C,7.5,<8,6.12,6-7,Post substrate addition 1,18.49301,173.3333333,162,3.256469473,0.779434402,2,53,0,15,48,0,3,3,1,6,8,15,4,0,5,28,0,4277,42,9,36,4,4,0,11,0,0,192,0,3,6,0,2,9,0,2,7,10,5,505,0,15,3,2,6,18,0,5,2,41,73,0,2,43,4,0,1,32,0,51,28,0,4,296,0,0,1,12,0,5,0,36,0,24,6,38,10,1,45,0,64,338,8,5,0,8,67,4,1,6,0,5,1,1049,8,3,1,19,23,0,62,0,0,3,1,0,0,87,32,39,19,7,0,0,0,0,0,2,124,0,0,1,9,0,17,0,0,53,11,93,41,0,213,22,0,1,3,1,0,5619,2,11,34,0,4,17,0,12,3,78,2,4,279,1,23,9,0,15,20,177,2,1,0,22,1342,7,25,58,2,0,7,8,1,21,0,5,0,8,7,0,9,1,0,36,125,11479,63,3,38,0,32,77,0,10,14,8,7,4,65,7,0,54,0,0,23,1,7,6,0,4,9,0,4,38,0,15,14,1,0,0,26,418,0,6,29000
LTEE.13..8,13,8,9.19.12,Sep,Fall,2012,Fall2012,Sep2012,16.9,12-19C,8.05,8 to 10,6.48,6-7,Post substrate addition 1,17.46745,165.4347826,158,2.90120074,0.722797696,2,33,0,17,55,0,2,1,2,5,0,3,0,0,2,40,0,6075,1,134,47,0,0,0,2,0,0,116,0,4,8,1,1,2,0,1,8,10,2,295,0,0,4,0,3,3,0,5,0,17,69,0,0,10,6,0,0,1,0,49,68,0,2,323,0,0,0,1,0,3,3,15,0,11,2,37,11,3,44,1,54,279,22,2,0,2,49,1,0,8,0,0,5,853,5,2,9,3,12,0,35,0,0,7,0,1,0,79,40,12,21,11,0,0,0,0,0,0,145,0,0,2,3,8,8,4,3,51,13,2,50,1,136,17,0,5,1,1,2,3301,6,9,38,0,4,10,0,4,2,92,1,4,149,1,21,4,1,14,2,243,0,2,0,34,1055,20,18,42,7,1,29,7,0,14,0,8,5,10,20,0,5,1,0,13,105,13525,31,5,28,0,7,70,0,12,15,3,2,9,58,10,0,32,0,0,32,1,5,17,0,2,6,0,2,39,0,18,11,7,0,0,2,220,0,5,29000
LTEE.16..1,16,1,9.9.11,Sep,Fall,2011,Fall2011,Sep2011,19.5,>19C,7.9,<8,6.532,6-7,Pre substrate addition,13.30337,115.5454545,100,2.608925582,0.697746863,0,36,0,0,2,0,0,254,0,35,0,0,5,2,0,0,0,15,45,1,55,1,35,0,23,0,0,1,0,0,0,0,0,42,0,0,16,0,0,353,0,419,35,0,1,0,0,3,0,7,0,0,0,83,0,0,8,19,0,1,0,74,0,16,0,0,0,45,1,0,2,0,0,0,2,0,0,0,1,0,1,0,0,11,0,0,200,0,0,0,0,420,2,4,4,1,5,334,1,0,30,0,0,0,0,0,0,0,41,22,0,10,0,0,0,0,0,13,6994,0,0,0,31,1,93,0,0,0,0,1,0,0,85,0,0,0,0,0,0,2813,6,2,209,0,43,0,0,0,2,0,8,0,91,0,27,27,0,3,0,66,10,1,0,0,3,0,2,13,0,0,6,7,0,0,0,47,1,0,0,1,6,0,0,36,1,13968,2,4,19,0,16,0,0,0,21,0,9,0,2,0,0,0,33,1,39,0,91,128,0,7,0,0,1,16,0,1,0,0,0,0,64,1193,0,12,29000
LTEE.16..2,16,2,10.21.11,Oct,Fall,2011,Fall2011,Oct2011,11,<12C,10.08,>10,5.93,5-6,Pre substrate addition,17.13525,173,146,3.572424962,0.837118098,61,2,9,0,827,0,9,0,15,1,12,19,0,137,3,54,2,232,14,18,1,1,7,0,4,1,0,5,0,0,0,0,1,7719,1,0,0,0,1,40,0,1,10,18,2,2,20,0,0,1,19,0,0,4,0,0,399,38,0,27,0,0,2,7711,0,0,94,6,35,3,1007,54,52,0,555,0,2,3,1,17,1,1,0,1,19,38,76,54,17,0,0,0,0,12,0,5,1,4,4,95,1,6,15,0,2,0,0,10,3,1,3,2,0,0,0,0,15,3,118,145,0,0,0,0,1,2,0,2,0,1,3,9,1,0,0,0,0,6,0,571,0,1834,3,0,61,0,0,19,109,7,60,4,20,252,2,56,7,3,2,15,0,212,0,0,3,28,20,5,0,22,7,1,129,0,0,1,28,8,1,0,0,40,18,1,15,464,0,3120,6,0,1,27,0,38,14,11,25,0,21,1,0,0,289,0,0,5,0,4,0,3,1,0,1315,5,0,2,0,0,24,1,94,8,1,0,29000
